network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
PB,B086,HH,33.5575,-116.531,1392,900,manual,0.6,2.170000076,1060,manual,0.6,ci37118967,10:45.1,None,33.47133,-116.56883,None,None,None,7.49,None,0.33,ml,None,None,0.09157,10.18,200.1,10.30000019,[[1586.]],10:38.3,earthquake_local,B086.PB_20150313111037_EV
PB,B086,HH,33.5575,-116.531,1392,900,manual,0.6,2.039999962,1064,manual,0.6,ci37129276,41:43.7,None,33.473,-116.56733,None,None,None,7.01,None,0.35,ml,None,None,0.08958,9.96,199.7,9.199999809,[[1614.]],41:36.8,earthquake_local,B086.PB_20150321054135_EV
PB,B081,HH,33.711167,-116.714167,1467,900,manual,0.6,2.799999952,1100,manual,0.6,ci37147351,36:18.3,None,33.67067,-116.71383,None,None,None,15.83,None,0.82,ml,None,None,0.0404,4.49,179.6,19.39999962,[[1557.]],36:12.1,earthquake_local,B081.PB_20150417193611_EV
PB,B086,HH,33.5575,-116.531,1392,699,autopicker,0.94,2.049999952,859,autopicker,0.88,ci37147647,57:29.3,None,33.47167,-116.57167,None,None,None,7.54,None,1.12,ml,None,None,0.0921,10.24,201.5,29,[[1394.]],57:24.3,earthquake_local,B086.PB_20150418095723_EV
PB,B084,HH,33.61157,-116.45637,1271,797,autopicker,0.91,6.210000038,1260,autopicker,0.86,ci37148335,54:07.2,None,33.88017,-116.20283,None,None,None,8.79,None,1.11,ml,None,None,0.3412,37.94,38.2,27.39999962,[[2176.]],54:05.4,earthquake_local,B084.PB_20150420005404_EV
PB,B081,HH,33.711167,-116.714167,1467,600,autopicker,0.94,3.200000048,836,autopicker,0.87,ci37148447,29:19.6,None,33.58083,-116.815,None,None,None,9.28,None,1.03,ml,None,None,0.1548,17.22,212.8,29.39999962,[[1434.]],29:16.8,earthquake_local,B081.PB_20150420042915_EV
PB,B086,HH,33.5575,-116.531,1392,600,manual,0.6,2.74000001,799,manual,0.6,ci37148815,57:31.7,None,33.46817,-116.60417,None,None,None,11.25,None,1.07,ml,None,None,0.1081,12.02,214.3,28.5,[[1207.]],57:28.4,earthquake_local,B086.PB_20150420185727_EV
PB,B081,HH,33.711167,-116.714167,1467,699,autopicker,0.93,9.75,1420,autopicker,0.7,ci37149175,16:19.7,None,34.1795,-117.04267,None,None,None,5.56,None,1.38,ml,None,None,0.5411,60.17,329.7,28.89999962,[[2325.]],16:22.4,earthquake_local,B081.PB_20150421081621_EV
PB,B082,HH,33.598182,-116.596005,1374.8,700,manual,0.6,2.309999943,881,manual,0.6,ci37149367,05:47.6,None,33.5945,-116.631,None,None,None,14.04,None,0.76,ml,None,None,0.02944,3.27,262.8,26.39999962,[[1304.]],05:43.0,earthquake_local,B082.PB_20150421140541_EV
PB,B918,EH,35.9357,-117.6017,1042.6,800,autopicker,0.92,2.200000048,989,autopicker,0.83,ci37164759,38:56.6,None,35.85483,-117.68317,None,None,None,2.64,None,0.98,ml,None,None,0.1043,11.6,219.2,42.79999924,[[1493.]],38:50.8,earthquake_local,B918.PB_20150519053849_EV
